Title,Year,Rating10,imdbID
"Hunt for the Wilderpeople",2016,8,tt4698684
"Twin Peaks: Fire Walk with Me",1992,8,tt0105665
"The Godfather",1972,10,tt0068646
"Downfall",2004,8,tt0363163
"The Death of Stalin",2017,7,tt4686844
"The Conjuring 2",2016,6,tt3065204
"Macbeth",2015,7,tt2884018
"The Hunchback of Notre Dame",1996,7,tt0116583
"Aladdin and the King of Thieves",1996,6,tt0115491
"Pocahontas II: Journey to a New World",1998,5,tt0143808
"Robin Hood",1973,8,tt0070608
"The Jungle Book",2016,7,tt3040964
"Comet in Moominland",1992,8,tt0240425
"Our Kind of Traitor",2016,6,tt1995390
"Pain & Gain",2013,7,tt1980209
"Spider-Man: Far From Home",2019,7,tt6320628
"Kill Bill: Vol. 1",2003,7,tt0266697
"Open Range",2003,8,tt0316356
"The Iron Giant",1999,8,tt0129167
"Charlie Wilson's War",2007,7,tt0472062
"Mud",2013,7,tt1935179
"The Professional",1994,8,None
"Rejected",2000,7,tt0234588
"Bowling for Columbine",2002,8,tt0310793
"Stand by Me",1986,7,tt0092005
"Sicko",2007,8,tt0386032
"Letters from Iwo Jima",2006,6,tt0498380
"Magnolia",1999,6,tt0175880
"Changeling",2008,8,tt0824747
"The Straight Story",1999,8,tt0166896
"Garden State",2004,7,tt0333766
"Frost/Nixon",2008,8,tt0870111
"Finding Neverland",2004,7,tt0308644
"Dirty Harry",1971,6,tt0066999
"Atonement",2007,6,tt0783233
"3:10 To Yuma",2007,8,tt0381849
"Snow White and the Seven Dwarfs",1937,7,tt0029583
"Mississippi Burning",1988,8,tt0095647
"Match Point",2005,7,tt0416320
"Eastern Promises",2007,7,tt0765443
"Close Encounters of the Third Kind",1977,7,tt0075860
"Brokeback Mountain",2005,7,tt0388795
"Man on Fire",2004,7,tt0328107
"Fahrenheit 9/11",2004,8,tt0361596
"Batman",1989,7,tt0096895
"American Graffiti",1973,7,tt0069704
"Philadelphia",1993,7,tt0107818
"Lethal Weapon",1987,7,tt0093409
"The Aviator",2004,7,tt0338751
"The Abyss",1989,7,tt0096754
"Michael Clayton",2007,5,tt0465538
"Live Free or Die Hard",2007,5,tt0337978
"Bolt",2008,5,tt0397892
"Before the Devil Knows You're Dead",2007,6,tt0292963
"Sunshine",2007,8,tt0448134
"Identity",2003,8,tt0309698
"Frailty",2001,6,tt0264616
"Face/Off",1997,7,tt0119094
"Contact",1997,8,tt0118884
"The Terminal",2004,7,tt0362227
"One Hundred and One Dalmatians",1961,7,tt0055254
"Kinsey",2004,7,tt0362269
"The Great Mouse Detective",1986,7,tt0091149
"GoldenEye",1995,7,tt0113189
"Flags of Our Fathers",2006,5,tt0418689
"Born on the Fourth of July",1989,7,tt0096969
"Yes Man",2008,5,tt1068680
"Pirates of the Caribbean: On Stranger Tides",2011,5,tt1298650
"The Butterfly Effect",2004,7,tt0289879
"Ice Age: The Meltdown",2006,5,tt0438097
"Wanted",2008,6,tt0493464
"Vanilla Sky",2001,7,tt0259711
"Quantum of Solace",2008,6,tt0830515
"Madagascar",2005,7,tt0351283
"Indiana Jones and the Kingdom of the Crystal Skull",2008,5,tt0367882
"Angels & Demons",2009,6,tt0808151
"War of the Worlds",2005,7,tt0407304
"Meet the Fockers",2004,6,tt0290002
"Bee Movie",2007,4,tt0389790
"American Pie 2",2001,5,tt0252866
"Air Force One",1997,7,tt0118571
"Twister",1996,6,tt0117998
"Stuart Little",1999,4,tt0164912
"Jurassic Park III",2001,7,tt0163025
"101 Dalmatians",1996,5,tt0115433
"Strangers on a Train",1951,7,tt0044079
"Ice Age: Dawn of the Dinosaurs",2009,6,tt1080016
"There's Something About Mary",1998,7,tt0129387
"The World Is Not Enough",1999,6,tt0143145
"Superman Returns",2006,6,tt0348150
"The Jungle Book",1967,7,tt0061852
"Robots",2005,6,tt0358082
"The Aristocats",1970,6,tt0065421
"The Land Before Time",1988,8,tt0095489
"Anastasia",1997,6,tt0118617
"Fantasia 2000",1999,6,tt0120910
"Peter Pan",1953,7,tt0046183
"Lady and the Tramp",1955,7,tt0048280
"Sleeping Beauty",1959,7,tt0053285
"Bambi",1942,7,tt0034492
"The Nightmare Before Christmas",1993,7,tt0107688
"Shrek the Third",2007,6,tt0413267
"Night at the Museum",2006,6,tt0477347
"National Treasure: Book of Secrets",2007,6,tt0465234
"Robin Hood: Prince of Thieves",1991,7,tt0102798
"Click (2006)",2006,6,tt0389860
"Who Framed Roger Rabbit",1988,8,tt0096438
"Dinosaur",2000,6,tt0130623
"The Perfect Storm",2000,6,tt0177971
"The Rock",1996,7,tt0117500
"Liar Liar",1997,7,tt0119528
"Shark Tale",2004,5,tt0307453
"Chicken Little",2005,4,tt0371606
"Meet the Parents",2000,6,tt0212338
"Doctor Dolittle",1998,5,tt0118998
"The Firm",1993,6,tt0106918
"Charlie's Angels",2000,4,tt0160127
"Babe",1995,7,tt0112431
"Enemy of the State",1998,7,tt0120660
"Crocodile Dundee",1986,7,tt0090555
"Crocodile Dundee II",1988,5,tt0092493
"Big Daddy",1999,6,tt0142342
"The Mask",1994,6,tt0110475
"The Mask of Zorro",1998,6,tt0120746
