Title,Year,Rating10,imdbID
"The Walking Dead",2010,7,tt1520211
"The Terror",2018,8,tt2708480
"The Vietnam War",2017,9,tt1877514
"Family Guy",1999,7,tt0182576
"Cosmos",2014,9,tt2395695
"Rick and Morty",2013,8,tt2861424
"Californication",2007,7,tt0904208
"Mad Men",2007,8,tt0804503
"Prison Break",2005,7,tt0455275
"DuckTales",1987,8,tt0092345
"Squid Game",2021,7,tt10919420
"WandaVision",2021,7,tt9140560
"The Witcher",2019,5,tt5180504
"The Mandalorian",2019,8,tt8111088
"Loki",2021,8,tt9140554
"Peaky Blinders",2013,8,tt2442560
"Dexter",2006,7,tt0773262
"Dahmer - Monster: The Jeffrey Dahmer Story",2022,7,tt13207736
"Scrubs",2001,8,tt0285403
"Community",2009,7,tt1439629
"Making a Murderer",2015,7,tt5189670
"Lost",2004,8,tt0411008
"Wild Wild Country",2018,8,tt7768848
"Tiger King",2020,7,tt11823076
"Twin Peaks: The Return",2017,9,tt4093826
"Attack on Titan",2013,9,tt2560140
"How I Met Your Mother",2005,5,tt0460649
"House",2004,8,tt0412142
"Watchmen",2019,8,tt7049682
"Modern Family",2009,7,tt1442437
"The Office",2005,8,tt0386676
"The Queen's Gambit",2020,8,tt10048342
"Obi-Wan Kenobi",2022,4,tt8466564
"Andor",2022,8,tt9253284
"House of the Dragon",2022,8,tt11198330
"Planet Earth",2006,10,tt0795176
"True Detective",2014,9,tt2356777
"Marvel's Jessica Jones",2015,6,tt2357547
"The Umbrella Academy",2019,7,tt1312171
"The Crown",2016,8,tt4786824
"Deadwood",2004,9,tt0348914
"Arrested Development",2003,10,tt0367279
"Orphan Black",2013,7,tt2234222
"The Pacific",2010,6,tt0374463
"The Leftovers",2014,5,tt2699128
"The Last Kingdom",2015,8,tt4179452
"Taboo",2017,7,tt3647998
"Billions",2016,7,tt4270492
"Vikings",2013,7,tt2306299
"The Handmaid's Tale",2017,8,tt5834204
"The Newsroom",2012,8,tt1870479
"Mr. Robot",2015,10,tt4158110
"Mindhunter",2017,9,tt5290382
"Westworld",2016,8,tt0475784
"The Boys",2019,7,tt1190634
"House of Cards",2013,8,tt1856010
"Seinfeld",1989,9,tt0098904
"Black Mirror",2011,8,tt2085059
"Narcos",2015,8,tt2707408
"Sherlock",2010,8,tt1475582
"Chernobyl",2019,9,tt7366338
"Planet Earth II",2016,10,tt5491994
"Better Call Saul",2015,10,tt3032476
"Breaking Bad",2008,10,tt0903747
"Homeland",2011,8,tt1796960
"The Expanse",2015,9,tt3230854
"Game of Thrones",2011,9,tt0944947
"Twin Peaks",1990,10,tt0098936
"The Sopranos",1999,9,tt0141842
"Stranger Things",2016,8,tt4574334
"Fargo",2014,8,tt2802850
"Band of Brothers",2001,10,tt0185906
